"Iperzola Ponteroncariale","{'Italy': 14}"
"Sheffield United F.C.","{'Argentina': 4, 'Australia': 9, 'Belgium': 6, 'Brazil': 2, 'China': 8, 'United Kingdom': 2, 'India': 12, 'Ireland': 9, 'Jordan': 2, 'Malta': 10, 'Netherlands': 2, 'Norway': 2, 'Serbia': 2, 'England': 78, 'Scotland': 3, 'Wales': 3, 'Turkey': 3}"
"CR Belouizdad","{'Algeria': 248, 'Ethiopia': 2, 'Morocco': 2, 'Mali': 10, 'Saudi Arabia': 2, 'Senegal': 4, 'Slovakia': 2, 'Tunisia': 6}"
"AZ Alkmaar","{'Austria': 8, 'Netherlands': 14, 'New Zealand': 3, 'Yugoslavia': 3}"
"STV Horst Emscher","{'Germany': 8, 'Russia': 3}"
"FC Chernomorets Novorossiysk","{'Armenia': 8, 'Azerbaijan': 2, 'Belarus': 14, 'Brazil': 2, 'China': 2, 'Cameroon': 6, 'Georgia': 9, 'Ghana': 2, 'Kazakhstan': 10, 'Lithuania': 2, 'Latvia': 2, 'Moldova, Republic of': 4, 'Ukraine': 27, 'Uzbekistan': 6, 'England': 3, 'America': 3, 'Russia': 120}"
"Burnley F.C.","{'Spain': 4, 'United Kingdom': 4, 'Ireland': 12, 'Jersey': 9, 'Jordan': 2, 'New Zealand': 3, 'Poland': 2, 'Chad': 2, 'United States': 4, 'England': 51, 'Wales': 15, 'Northern Ireland': 6, 'America': 21, 'Russia': 6}"
"FC Utrecht","{'Denmark': 2, 'France': 2, 'Luxembourg': 2, 'Monaco': 2, 'Netherlands': 88, 'Wales': 3, 'Russia': 3}"
"Djurgårdens IF Fotboll","{'Austria': 2, 'Bosnia and Herzegovina': 6, 'Switzerland': 2, 'Spain': 2, 'Hungary': 3, 'Iceland': 2, 'Kenya': 2, 'Luxembourg': 2, 'Norway': 8, 'Oman': 2, 'Romania': 3, 'Sierra Leone': 2, 'Sweden': 150, 'England': 24, 'Scotland': 3, 'Wales': 3}"
"CDR Quarteirense","{'Portugal': 6}"
"Club Atlético San Lorenzo de Almagro","{'Argentina': 198, 'Bolivia, Plurinational State of': 1, 'Brazil': 6, 'Chile': 2, 'Colombia': 4, 'Spain': 24, 'Hungary': 6, 'Ireland': 3, 'Iran, Islamic Republic of': 1, 'Morocco': 2, 'Peru': 2, 'Portugal': 14, 'Paraguay': 8, 'Uruguay': 12, 'United States': 2, 'America': 33, 'Yugoslavia': 3}"
"Calcio Padova","{'France': 2, 'Italy': 12}"
"Alexandra United","{}"
"Saint-Denis Saint-Leu","{}"
"CO Saint-Dizier","{'France': 4}"
"HSV Barmbek-Uhlenhorst","{'Germany': 4}"
"Inter Miami CF","{'Argentina': 34, 'Bolivia, Plurinational State of': 3, 'Brazil': 2, 'Canada': 6, 'China': 24, 'Germany': 2, 'Ecuador': 6, 'Spain': 6, 'France': 12, 'Hong Kong': 18, 'India': 4, 'Iran, Islamic Republic of': 2, 'Israel': 2, 'Jersey': 30, 'Japan': 6, 'Mali': 2, 'Oman': 2, 'Peru': 4, 'Paraguay': 2, 'Qatar': 18, 'El Salvador': 4, 'Uruguay': 8, 'United States': 30, 'Venezuela, Bolivarian Republic of': 2, 'England': 18, 'Scotland': 3, 'America': 27}"
"FC Bern","{'Switzerland': 14}"
"Júbilo Iwata","{'Brazil': 22, 'Spain': 2, 'Greece': 2, 'Iran, Islamic Republic of': 1, 'Italy': 2, 'Japan': 315, 'Korea, Republic of': 10, 'Netherlands': 12, 'Oman': 6, 'Paraguay': 4, 'Saudi Arabia': 2, 'Senegal': 2, 'Serbia': 2, 'England': 3, 'America': 3, 'South Korea': 30, 'Russia': 3}"
"NK Lokomotiva Zagreb","{'Croatia': 128, 'Yugoslavia': 9}"
"Sportivo Iteño","{'Paraguay': 26}"
"St Johnstone F.C.","{'Canada': 12, 'Germany': 2, 'Finland': 2, 'United Kingdom': 2, 'Morocco': 4, 'Monaco': 8, 'Norway': 2, 'England': 3, 'Scotland': 51, 'Yugoslavia': 3}"
"Ettifaq FC","{'United Arab Emirates': 3, 'Argentina': 2, 'Bangladesh': 4, 'Bahrain': 10, 'Brazil': 10, 'Switzerland': 2, 'Germany': 4, 'Algeria': 2, 'Egypt': 2, 'Spain': 8, 'France': 2, 'Croatia': 2, 'Indonesia': 2, 'Iran, Islamic Republic of': 3, 'Iraq': 8, 'Jordan': 4, 'Kuwait': 34, 'Lebanon': 8, 'Morocco': 4, 'Maldives': 6, 'Malaysia': 9, 'Netherlands': 4, 'Oman': 16, 'Poland': 4, 'Korea, Democratic People\'s Republic of': 3, 'Portugal': 4, 'Qatar': 18, 'Romania': 15, 'Saudi Arabia': 46, 'Sudan': 4, 'Serbia': 6, 'Tunisia': 10, 'Uruguay': 2, 'Uzbekistan': 2, 'Yemen': 2, 'England': 6, 'North Korea': 9}"
"Amora F.C.","{'Malta': 2, 'Montenegro': 3, 'Portugal': 16}"
"S.C. Farense","{'Macao': 22, 'Portugal': 52}"
":it:Football Club Bolzano 1996","{}"
"Hamilton Steelers (1958-67)","{'Canada': 21}"
"Bayonne Rovers","{}"
"FC Bagnols Pont","{'France': 4}"
"Liberty Professionals F.C.","{'Spain': 6, 'Ghana': 182, 'Kenya': 2, 'Oman': 8, 'Togo': 2, 'Tunisia': 2, 'Samoa': 2}"
"Grêmio Foot-Ball Porto Alegrense","{'United Arab Emirates': 3, 'Argentina': 8, 'Belgium': 2, 'Bulgaria': 2, 'Brazil': 106, 'Colombia': 4, 'Costa Rica': 2, 'Germany': 4, 'Denmark': 2, 'Ecuador': 6, 'Estonia': 2, 'France': 2, 'Greece': 2, 'Iran, Islamic Republic of': 6, 'Jersey': 3, 'Luxembourg': 2, 'Mexico': 6, 'Oman': 6, 'Poland': 2, 'Portugal': 2, 'Romania': 3, 'El Salvador': 2, 'Chad': 30, 'Uruguay': 26, 'America': 105, 'Russia': 3}"
"BC Augsburg","{'Germany': 10}"
"FC Libourne-Saint-Seurin","{'France': 4}"
"FK Sūduva","{'Austria': 4, 'Belgium': 2, 'Bulgaria': 2, 'Belarus': 2, 'Switzerland': 2, 'Cyprus': 2, 'Denmark': 6, 'Estonia': 4, 'Finland': 2, 'Croatia': 2, 'Hungary': 3, 'Israel': 4, 'Italy': 2, 'Japan': 3, 'Kazakhstan': 4, 'Lithuania': 148, 'Latvia': 8, 'Norway': 6, 'Oman': 6, 'Poland': 2, 'San Marino': 2, 'Serbia': 12, 'Sweden': 2, 'Scotland': 6, 'Wales': 6, 'America': 3}"
"K.V.C. Westerlo","{'Belgium': 54, 'France': 2, 'Jordan': 4, 'Netherlands': 4, 'Oman': 2, 'Chad': 2}"
"Defensor Sporting Club","{'Argentina': 4, 'Peru': 2, 'Uruguay': 132, 'America': 30}"
"A.D. San Carlos","{'Costa Rica': 26}"
"Daejeon Korail FC","{'Japan': 3, 'Korea, Republic of': 7, 'South Korea': 21}"
"Ripensia Timișoara","{'Austria': 2, 'Hungary': 18, 'Italy': 6, 'Oman': 76, 'Romania': 114}"
"AC Cesena","{'Albania': 4, 'Argentina': 2, 'Australia': 3, 'Austria': 4, 'Brazil': 2, 'Chile': 2, 'Algeria': 2, 'France': 2, 'Croatia': 2, 'Italy': 104, 'Japan': 3, 'Niger': 2, 'Nigeria': 2, 'Oman': 4, 'Romania': 6, 'Senegal': 2, 'San Marino': 2, 'Uruguay': 2, 'Yugoslavia': 6}"
"Unión San Felipe","{'Chile': 58, 'Ecuador': 2, 'Iran, Islamic Republic of': 2, 'America': 12}"
"Hammer SpVg","{'Germany': 6}"
"FC Hradec Králové{{efn","{}"
"1. FSV Mainz 05","{'Armenia': 2, 'Austria': 6, 'Belgium': 2, 'Switzerland': 2, 'Germany': 82, 'Denmark': 6, 'Croatia': 2, 'Hungary': 3, 'Iceland': 2, 'Norway': 2, 'Oman': 2, 'Romania': 3, 'Russia': 3}"
"SK Jedinstvo Beograd","{'Croatia': 2, 'Serbia': 20, 'Yugoslavia': 12}"
"Nasarawa United F.C.","{'Denmark': 2, 'Niger': 84, 'Nigeria': 80}"
"Racing Club de Montevideo","{'Uruguay': 90, 'America': 3}"
"Admira Wacker","{'Austria': 168, 'Azerbaijan': 2, 'Belgium': 4, 'Bulgaria': 2, 'Switzerland': 2, 'Cyprus': 2, 'Czechia': 2, 'Germany': 10, 'Denmark': 2, 'Finland': 2, 'France': 2, 'Croatia': 8, 'Hungary': 6, 'Iran, Islamic Republic of': 2, 'Italy': 6, 'Lithuania': 2, 'Mali': 2, 'Poland': 8, 'Slovakia': 4, 'Slovenia': 4, 'Tajikistan': 2, 'Ukraine': 3, 'England': 3, 'Wales': 3, 'Yugoslavia': 3}"
"Empoli F.C.","{'Albania': 14, 'Australia': 6, 'Brazil': 2, 'Chile': 2, 'France': 10, 'Croatia': 2, 'Italy': 132, 'Jordan': 2, 'Poland': 2, 'Slovakia': 2, 'Slovenia': 2, 'Sweden': 2, 'Uruguay': 2}"
"PFC Levski Sofia","{'Austria': 2, 'Azerbaijan': 2, 'Benin': 2, 'Bulgaria': 604, 'Bosnia and Herzegovina': 2, 'Belarus': 2, 'Brazil': 16, 'Switzerland': 2, 'Cameroon': 2, 'Czechia': 3, 'Germany': 2, 'Spain': 14, 'France': 10, 'Georgia': 6, 'Ghana': 2, 'Guinea': 6, 'Gambia': 2, 'Hungary': 6, 'Iceland': 2, 'Italy': 6, 'Liechtenstein': 2, 'Morocco': 10, 'North Macedonia': 4, 'Mali': 4, 'Montenegro': 9, 'Niger': 12, 'Nigeria': 12, 'Netherlands': 6, 'Oman': 4, 'Panama': 2, 'Peru': 2, 'Portugal': 8, 'Romania': 3, 'Senegal': 2, 'Serbia': 20, 'Slovakia': 8, 'Slovenia': 6, 'Sweden': 6, 'Ukraine': 9, 'Uruguay': 2, 'South Africa': 2, 'Scotland': 3, 'America': 6, 'Russia': 6}"
"NK TOŠK Tešanj","{'Bosnia and Herzegovina': 44}"
"FC Basel","{'Switzerland': 30, 'Czechia': 2, 'Germany': 14, 'Jersey': 3, 'Peru': 4, 'Serbia': 2, 'Slovakia': 2, 'England': 6, 'Turkey': 6}"
"Ittihad FC (Jeddah)","{'United Arab Emirates': 3, 'Argentina': 24, 'Australia': 6, 'Austria': 2, 'Belgium': 14, 'Bahrain': 2, 'Bosnia and Herzegovina': 2, 'Brazil': 98, 'Chile': 18, 'China': 10, 'Cameroon': 4, 'Congo': 2, 'Colombia': 2, 'Costa Rica': 2, 'Germany': 4, 'Algeria': 4, 'Egypt': 28, 'Spain': 12, 'France': 8, 'Georgia': 3, 'Ghana': 14, 'Guinea': 6, 'Croatia': 22, 'Hungary': 12, 'Iran, Islamic Republic of': 10, 'Iraq': 2, 'Italy': 6, 'Jordan': 2, 'Japan': 18, 'Korea, Republic of': 7, 'Kuwait': 12, 'Lebanon': 2, 'Morocco': 4, 'Monaco': 6, 'Mexico': 2, 'Mali': 4, 'Niger': 4, 'Nigeria': 4, 'Netherlands': 6, 'Oman': 28, 'Peru': 6, 'Poland': 2, 'Portugal': 12, 'Qatar': 20, 'Romania': 33, 'Saudi Arabia': 258, 'Sierra Leone': 4, 'Serbia': 4, 'Slovenia': 6, 'Sweden': 4, 'Syrian Arab Republic': 2, 'Tunisia': 20, 'Uruguay': 4, 'Uzbekistan': 16, 'Venezuela, Bolivarian Republic of': 2, 'South Africa': 2, 'England': 9, 'America': 3, 'Yugoslavia': 3, 'South Korea': 21, 'Russia': 6}"
"Reading F.C.","{'Argentina': 4, 'Antigua and Barbuda': 3, 'Barbados': 3, 'China': 6, 'Spain': 2, 'Croatia': 4, 'Ireland': 18, 'Iceland': 10, 'Italy': 6, 'Korea, Republic of': 1, 'Senegal': 2, 'Singapore': 2, 'Serbia': 2, 'Thailand': 4, 'United States': 4, 'Zimbabwe': 4, 'England': 150, 'Scotland': 6, 'Wales': 12, 'Northern Ireland': 9, 'South Korea': 3, 'Russia': 18}"
"Puntarenas F.C.","{'Costa Rica': 30, 'Iran, Islamic Republic of': 1, 'America': 6}"
"Club Deportivo Universidad Católica","{'Argentina': 8, 'Bolivia, Plurinational State of': 1, 'Brazil': 6, 'Chile': 512, 'Colombia': 2, 'Ecuador': 4, 'Mexico': 2, 'Uruguay': 2, 'America': 60}"
"VfL Wolfsburg","{}"
"Fernandópolis Futebol Clube","{'Brazil': 18}"
"Ravan Baku FK","{'Azerbaijan': 72}"
"S.C. Eendracht Aalst","{'Belgium': 84, 'Hungary': 3, 'Netherlands': 6, 'Senegal': 2, 'Yugoslavia': 3}"
"FC Zurich","{'Austria': 16, 'Belgium': 12, 'Bulgaria': 6, 'Switzerland': 70, 'Cyprus': 8, 'Czechia': 2, 'Germany': 34, 'Denmark': 6, 'Spain': 10, 'Finland': 2, 'France': 10, 'Hungary': 15, 'Ireland': 3, 'Iceland': 2, 'Italy': 16, 'Latvia': 2, 'Malta': 2, 'Niger': 6, 'Nigeria': 6, 'Netherlands': 2, 'New Zealand': 3, 'Oman': 16, 'Poland': 2, 'Portugal': 8, 'Romania': 12, 'Slovakia': 2, 'Slovenia': 2, 'Sweden': 10, 'Ukraine': 3, 'South Africa': 2, 'England': 15, 'Scotland': 15, 'Wales': 3, 'Yugoslavia': 6, 'Turkey': 9, 'Russia': 9}"
"RCD Mallorca B","{'Switzerland': 2, 'Spain': 62, 'Honduras': 2, 'Mali': 2, 'England': 6}"
"SD Compostela","{'Bulgaria': 2, 'Brazil': 6, 'Denmark': 2, 'Spain': 32, 'France': 4, 'Morocco': 2, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 4, 'Serbia': 4, 'Uruguay': 2, 'Russia': 6}"
"Accra Hearts of Oak SC","{'Germany': 2, 'Ghana': 270, 'Israel': 2, 'Japan': 3, 'Oman': 2, 'Portugal': 2, 'Romania': 3, 'Serbia': 14, 'Scotland': 3}"
"Brisbane Strikers FC","{'Afghanistan': 10, 'United Arab Emirates': 3, 'Australia': 1020, 'Belgium': 8, 'Bangladesh': 8, 'Bosnia and Herzegovina': 6, 'Brazil': 4, 'Canada': 6, 'China': 8, 'Cook Islands': 9, 'Costa Rica': 12, 'Cyprus': 2, 'Czechia': 1, 'Germany': 14, 'Denmark': 2, 'Spain': 4, 'Finland': 4, 'Fiji': 6, 'France': 2, 'Georgia': 6, 'Gibraltar': 6, 'Guinea': 32, 'Greece': 6, 'Guam': 9, 'Hong Kong': 34, 'Croatia': 4, 'Hungary': 6, 'Indonesia': 8, 'India': 2, 'Ireland': 6, 'Israel': 6, 'Italy': 12, 'Japan': 24, 'Liberia': 4, 'Lithuania': 2, 'Mali': 2, 'Malta': 2, 'Malaysia': 24, 'New Caledonia': 3, 'Netherlands': 14, 'Norway': 20, 'Nepal': 12, 'New Zealand': 123, 'Oman': 6, 'Philippines': 8, 'Papua New Guinea': 32, 'French Polynesia': 3, 'Romania': 9, 'Saudi Arabia': 2, 'Sudan': 4, 'Singapore': 6, 'South Sudan': 4, 'Sweden': 8, 'Thailand': 26, 'Tonga': 6, 'United States': 6, 'Virgin Islands, British': 1, 'Viet Nam': 1, 'Samoa': 4, 'England': 87, 'Scotland': 63, 'Wales': 6, 'Turkey': 3, 'Russia': 3}"
"Deportivo Mandiyú","{'Argentina': 6, 'Oman': 4, 'Paraguay': 2, 'Uruguay': 2}"
"Hapoel Ironi Rishon LeZion F.C.","{'Croatia': 4, 'Israel': 76, 'Moldova, Republic of': 2, 'Peru': 2, 'America': 3}"
"Municipal Grecia","{'Costa Rica': 22, 'Greece': 4, 'America': 3}"
"FC Lausanne-Sport","{'Switzerland': 10, 'France': 4}"
"APOEL FC","{'Albania': 2, 'Argentina': 2, 'Armenia': 2, 'Australia': 3, 'Austria': 2, 'Bosnia and Herzegovina': 2, 'Belarus': 2, 'Brazil': 2, 'Colombia': 2, 'Costa Rica': 2, 'Cyprus': 64, 'Czechia': 1, 'Germany': 2, 'Denmark': 2, 'Algeria': 2, 'Egypt': 2, 'France': 4, 'Faroe Islands': 3, 'Ghana': 2, 'Greece': 14, 'Croatia': 2, 'Hungary': 6, 'Ireland': 6, 'Iran, Islamic Republic of': 1, 'Israel': 2, 'Italy': 2, 'Jordan': 2, 'Lao People\'s Democratic Republic': 1, 'Morocco': 2, 'North Macedonia': 2, 'Mali': 12, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 2, 'Norway': 4, 'Oman': 4, 'Peru': 2, 'Poland': 2, 'Portugal': 6, 'Paraguay': 2, 'Romania': 3, 'Serbia': 2, 'Slovakia': 2, 'Slovenia': 2, 'Togo': 2, 'Tunisia': 2, 'England': 3, 'Northern Ireland': 3}"
"ASM Belfort","{'France': 4, 'Jordan': 2}"
"Sociedade Esportiva do Gama","{'Brazil': 26, 'India': 2, 'America': 3}"
"Górnik Wałbrzych","{'Switzerland': 2, 'Oman': 2, 'Poland': 12}"
"Atlético Petróleos de Luanda","{'Angola': 140, 'Cuba': 2, 'Iran, Islamic Republic of': 1, 'Chad': 2}"
"Amiens SC","{'Angola': 2, 'Argentina': 2, 'Congo': 6, 'Denmark': 2, 'Algeria': 2, 'France': 130, 'Oman': 2, 'Senegal': 2, 'Slovenia': 2, 'Togo': 2, 'Tunisia': 2}"
"AC Torino","{'Aruba': 3, 'Argentina': 2, 'Austria': 2, 'Brazil': 2, 'Switzerland': 4, 'France': 16, 'Hungary': 6, 'Ireland': 3, 'Italy': 72, 'Jersey': 3, 'Liechtenstein': 4, 'Netherlands': 2, 'Oman': 6, 'Peru': 10, 'America': 6}"
"Kansas City Comets (1979-91)","{'Brazil': 8, 'Chile': 4, 'Spain': 2, 'Haiti': 2, 'Ireland': 6, 'Iran, Islamic Republic of': 1, 'Iceland': 2, 'Italy': 2, 'Jersey': 3, 'Niger': 4, 'Nigeria': 4, 'Chad': 2, 'United States': 2, 'Scotland': 3, 'Northern Ireland': 3, 'America': 3}"
"CF Extremadura","{'Argentina': 4, 'Belgium': 2, 'Brazil': 2, 'Switzerland': 2, 'Cameroon': 2, 'Colombia': 2, 'Spain': 30, 'Guinea': 2, 'Equatorial Guinea': 2, 'Italy': 2, 'Paraguay': 2, 'Uruguay': 2}"
"Étoile du Sahel","{'Bosnia and Herzegovina': 2, 'Brazil': 6, 'Cameroon': 4, 'Germany': 2, 'Algeria': 6, 'Egypt': 6, 'Spain': 2, 'Ethiopia': 2, 'France': 6, 'Gabon': 2, 'Ghana': 4, 'Guinea': 2, 'Croatia': 2, 'Iraq': 2, 'Jersey': 6, 'Jordan': 2, 'Japan': 9, 'Libya': 3, 'Morocco': 6, 'Monaco': 4, 'Mexico': 2, 'Mali': 4, 'Niger': 4, 'Nigeria': 4, 'Saudi Arabia': 4, 'Sudan': 8, 'Serbia': 4, 'Tunisia': 396, 'America': 6, 'Yugoslavia': 3}"
"Portland Timbers (NASL)","{'Canada': 6, 'Guatemala': 2, 'Ireland': 3, 'Jersey': 21, 'Korea, Republic of': 2, 'United States': 8, 'England': 21, 'Scotland': 3, 'Wales': 3, 'America': 117, 'South Korea': 6}"
"Barcelona SC","{'Argentina': 16, 'Bolivia, Plurinational State of': 3, 'Brazil': 14, 'Chile': 6, 'Colombia': 10, 'Ecuador': 164, 'Spain': 6, 'Jersey': 3, 'Mexico': 2, 'Peru': 2, 'Paraguay': 4, 'Chad': 2, 'Uruguay': 10, 'America': 15}"
"Total","{'Brazil': 2, 'America': 3}"
"Sporting Lokeren","{'Albania': 2, 'Belgium': 76, 'Burkina Faso': 3, 'Switzerland': 2, 'Czechia': 1, 'Germany': 4, 'Spain': 4, 'Estonia': 2, 'France': 4, 'Faroe Islands': 3, 'Georgia': 9, 'Guinea': 2, 'Greece': 2, 'Hungary': 3, 'Iran, Islamic Republic of': 2, 'Iceland': 4, 'Luxembourg': 2, 'Morocco': 2, 'Niger': 6, 'Nigeria': 6, 'Netherlands': 6, 'Norway': 2, 'Poland': 6, 'Portugal': 2, 'Serbia': 6, 'Slovakia': 6, 'Syrian Arab Republic': 1, 'Togo': 2, 'South Africa': 2, 'Zimbabwe': 2, 'England': 9, 'Scotland': 3}"
"CS Chênois","{'Switzerland': 8}"
"Morgan F.C.","{}"
"Club Universidad de Chile","{'Argentina': 8, 'Brazil': 4, 'Chile': 408, 'Germany': 2, 'Ecuador': 2, 'Iran, Islamic Republic of': 3, 'Jersey': 27, 'Oman': 4, 'Paraguay': 4, 'Uruguay': 4, 'America': 57}"
"FC Hermagor","{}"
"Queen of the South F.C.","{'Denmark': 8, 'France': 2, 'United Kingdom': 2, 'Ireland': 3, 'Jordan': 4, 'Mali': 2, 'England': 12, 'Scotland': 186, 'Northern Ireland': 3}"
"University of Pretoria F.C.","{'Senegal': 4, 'South Africa': 26, 'Zimbabwe': 6}"
"Sharks F.C.","{'Niger': 26, 'Nigeria': 26}"
"Julius Berger FC","{'Niger': 28, 'Nigeria': 28}"
"Elektromos FC","{'Austria': 2, 'Hungary': 15}"
"FC Nancy","{'France': 18}"
"Ascoli Calcio 1898","{'France': 8, 'Italy': 12, 'Oman': 2, 'America': 3}"
"Hammarby Fotboll","{'Albania': 2, 'Austria': 2, 'Bulgaria': 2, 'Belarus': 2, 'Switzerland': 2, 'Germany': 2, 'Denmark': 2, 'Spain': 4, 'Finland': 4, 'Faroe Islands': 3, 'Hungary': 9, 'Ireland': 3, 'Iran, Islamic Republic of': 1, 'Iceland': 2, 'Jersey': 3, 'Montenegro': 3, 'Netherlands': 6, 'Norway': 2, 'Poland': 2, 'Portugal': 2, 'Serbia': 6, 'Slovenia': 2, 'Sweden': 134, 'United States': 4, 'England': 9, 'Scotland': 3, 'America': 3}"
"CD Castellón","{'Argentina': 8, 'Bosnia and Herzegovina': 2, 'Belarus': 2, 'Colombia': 2, 'Spain': 40, 'France': 2, 'Guinea': 10, 'Equatorial Guinea': 10, 'Croatia': 2, 'India': 2, 'Israel': 2, 'Japan': 3, 'Niger': 2, 'Nigeria': 2, 'Oman': 2, 'Romania': 3, 'Serbia': 8, 'Ukraine': 3, 'Uruguay': 2, 'Wales': 3, 'Yugoslavia': 6, 'Russia': 3}"
"April 25 Sports Club","{'Bangladesh': 4, 'China': 14, 'Germany': 2, 'Indonesia': 2, 'India': 14, 'Iran, Islamic Republic of': 2, 'Japan': 9, 'Korea, Republic of': 1, 'Lebanon': 2, 'Mongolia': 36, 'Malaysia': 3, 'Korea, Democratic People\'s Republic of': 28, 'Qatar': 2, 'Saudi Arabia': 4, 'Thailand': 2, 'Viet Nam': 2, 'South Korea': 3, 'North Korea': 84}"
"AFC Bournemouth","{'United Kingdom': 2, 'Jordan': 2, 'England': 24, 'America': 9}"
"Huachipato","{'Argentina': 26, 'Bolivia, Plurinational State of': 2, 'Brazil': 4, 'Chile': 314, 'Ecuador': 2, 'Croatia': 2, 'Paraguay': 6, 'Chad': 2, 'Uruguay': 2, 'Venezuela, Bolivarian Republic of': 1, 'America': 69}"
"Arminia Bielefeld","{'Austria': 10, 'China': 2, 'Germany': 316, 'Ghana': 2, 'Iran, Islamic Republic of': 6, 'Italy': 4, 'Luxembourg': 6, 'Netherlands': 6, 'Oman': 2, 'Poland': 4, 'Slovakia': 10, 'Yugoslavia': 6, 'Russia': 9}"
"Club América","{'Argentina': 8, 'Brazil': 12, 'Chile': 2, 'Cameroon': 4, 'Egypt': 4, 'Israel': 2, 'Jersey': 9, 'Japan': 3, 'Korea, Republic of': 2, 'Mexico': 216, 'Oman': 4, 'Portugal': 2, 'Paraguay': 2, 'Uruguay': 2, 'United States': 2, 'Venezuela, Bolivarian Republic of': 1, 'Zambia': 4, 'America': 1005, 'South Korea': 6}"
"Barnsley F.C.","{'Argentina': 2, 'Austria': 4, 'Brazil': 8, 'Germany': 4, 'Denmark': 2, 'France': 2, 'United Kingdom': 2, 'India': 2, 'Ireland': 39, 'Iceland': 2, 'Jamaica': 3, 'Jordan': 4, 'Netherlands': 2, 'Oman': 2, 'Poland': 2, 'Portugal': 2, 'Sweden': 2, 'England': 243, 'Scotland': 42, 'Wales': 9, 'Northern Ireland': 21}"
"Miami United FC","{'Brazil': 2, 'Jersey': 9, 'Japan': 3, 'United States': 4, 'America': 9}"
"Shanghai Shenhua","{'Argentina': 8, 'Australia': 6, 'Bulgaria': 2, 'Brazil': 8, 'China': 184, 'Congo': 2, 'Colombia': 4, 'Spain': 14, 'France': 6, 'Greenland': 69, 'Croatia': 2, 'Indonesia': 2, 'Korea, Republic of': 1, 'Poland': 2, 'Singapore': 2, 'Serbia': 4, 'Thailand': 2, 'Uruguay': 2, 'Viet Nam': 1, 'England': 9, 'South Korea': 3, 'Russia': 15}"
"FC Vítkovice","{'Czechia': 5, 'Slovakia': 6}"
"FC Chiasso","{'Switzerland': 14, 'Italy': 16, 'Poland': 2, 'San Marino': 2}"
"Changchun Yatai F.C.","{'China': 86, 'Indonesia': 2, 'Iran, Islamic Republic of': 1, 'Viet Nam': 1}"
"Al Wasl F.C.","{'United Arab Emirates': 24, 'Canada': 6, 'Honduras': 2, 'Iran, Islamic Republic of': 3, 'Italy': 2, 'Japan': 3}"
"F.C. Motagua","{'Belize': 3, 'Costa Rica': 2, 'Guatemala': 2, 'Honduras': 48, 'Jersey': 3, 'Oman': 2, 'El Salvador': 2, 'America': 54}"
"Szekszárdi Dózsa","{}"
"SK Brann","{'Austria': 4, 'France': 2, 'Iceland': 2, 'Jamaica': 3, 'Mali': 2, 'Netherlands': 4, 'Norway': 62, 'Poland': 4, 'Senegal': 2, 'Sweden': 2}"
"Angers SCO","{'Argentina': 2, 'Austria': 2, 'Switzerland': 2, 'Cameroon': 6, 'Algeria': 2, 'France': 132, 'Hungary': 3, 'Italy': 2, 'Jordan': 2, 'Oman': 4, 'Romania': 6, 'Serbia': 2, 'Slovakia': 4, 'Slovenia': 2, 'Tunisia': 4, 'Yugoslavia': 9}"
"C.F. Monterrey","{'Argentina': 40, 'Brazil': 20, 'Chile': 16, 'Colombia': 8, 'Ecuador': 4, 'Spain': 10, 'Ireland': 3, 'Jersey': 3, 'Mexico': 198, 'Panama': 2, 'Peru': 2, 'Portugal': 2, 'Paraguay': 4, 'Uruguay': 24, 'England': 3, 'America': 27}"
"Al-Taawoun FC","{'United Arab Emirates': 3, 'Iran, Islamic Republic of': 1, 'Mali': 2, 'Oman': 2, 'Qatar': 2, 'Saudi Arabia': 24, 'Syrian Arab Republic': 2, 'Uzbekistan': 2}"
"Deportivo Vasco de Caracas","{}"
"Grêmio Osasco Audax Esporte Clube","{'Brazil': 16, 'Oman': 4}"
"Dalian Shide","{'China': 90, 'Montenegro': 3, 'Singapore': 4, 'Serbia': 6}"
"A.C. Cesena","{'Albania': 4, 'Argentina': 2, 'Australia': 3, 'Austria': 4, 'Brazil': 2, 'Chile': 2, 'Algeria': 2, 'France': 2, 'Croatia': 2, 'Italy': 104, 'Japan': 3, 'Niger': 2, 'Nigeria': 2, 'Oman': 4, 'Romania': 6, 'Senegal': 2, 'San Marino': 2, 'Uruguay': 2, 'Yugoslavia': 6}"
"C.D. Aves","{'Portugal': 42}"
"Club Atlético Atlanta","{'Argentina': 74, 'Georgia': 3, 'Iran, Islamic Republic of': 2, 'United States': 2, 'Venezuela, Bolivarian Republic of': 1, 'America': 3}"
"Cádiz CF B","{'Argentina': 2, 'Brazil': 2, 'Cameroon': 4, 'Spain': 44, 'Guinea': 2, 'Croatia': 2, 'Haiti': 2, 'Iran, Islamic Republic of': 14, 'Mali': 4, 'Oman': 2, 'Serbia': 2, 'Zambia': 2}"
"Club Atlético Belgrano","{'Argentina': 20, 'Bolivia, Plurinational State of': 1, 'Brazil': 2, 'Switzerland': 2, 'Hungary': 3, 'America': 6}"
