"NK TOŠK Tešanj","{'Bosnia and Herzegovina': 44}"
"FK Sarajevo","{'Australia': 6, 'Austria': 2, 'Bulgaria': 2, 'Bosnia and Herzegovina': 182, 'Canada': 3, 'Switzerland': 6, 'Germany': 2, 'Spain': 2, 'France': 4, 'Croatia': 6, 'Hungary': 3, 'Iran, Islamic Republic of': 6, 'Italy': 4, 'Jersey': 9, 'Montenegro': 3, 'Malaysia': 57, 'Oman': 8, 'Romania': 3, 'Serbia': 6, 'Slovenia': 2, 'Syrian Arab Republic': 2, 'United States': 2, 'Viet Nam': 4, 'England': 3, 'Wales': 9, 'America': 6, 'Yugoslavia': 234, 'Turkey': 6}"
"FC Chiasso","{'Switzerland': 14, 'Italy': 16, 'Poland': 2, 'San Marino': 2}"
"MTK Hungária{{efn-lr","{}"
"Fulgerul Chișinău","{}"
"1. FC Kaiserslautern II","{'Germany': 4}"
"Genoa C.F.C.","{'Argentina': 2, 'Switzerland': 4, 'Czechia': 1, 'Germany': 2, 'Denmark': 2, 'Spain': 4, 'France': 16, 'India': 6, 'Iran, Islamic Republic of': 1, 'Iceland': 2, 'Italy': 150, 'Japan': 6, 'Mali': 2, 'Netherlands': 2, 'Oman': 16, 'Romania': 6, 'Uruguay': 6, 'England': 21}"
"NK Celje","{'Armenia': 6, 'Bulgaria': 2, 'Bosnia and Herzegovina': 2, 'Switzerland': 2, 'Denmark': 4, 'Hungary': 3, 'Ireland': 3, 'Iran, Islamic Republic of': 3, 'Israel': 4, 'Moldova, Republic of': 1, 'Norway': 4, 'Oman': 2, 'Poland': 2, 'Slovakia': 2, 'Slovenia': 240, 'Yugoslavia': 12, 'Turkey': 3}"
"Roda JC","{'Australia': 3, 'Belgium': 8, 'Bulgaria': 2, 'Bosnia and Herzegovina': 2, 'Switzerland': 2, 'Germany': 4, 'Denmark': 4, 'Estonia': 2, 'Ghana': 2, 'Greece': 2, 'Hungary': 3, 'Netherlands': 116, 'New Zealand': 3, 'Poland': 2, 'Portugal': 2, 'Serbia': 2}"
"Taj SC","{'China': 2, 'Germany': 2, 'Spain': 4, 'India': 20, 'Iran, Islamic Republic of': 121, 'Israel': 6, 'Japan': 3, 'Korea, Republic of': 1, 'Portugal': 2, 'Qatar': 6, 'Saudi Arabia': 4, 'Singapore': 2, 'Turkmenistan': 3, 'South Korea': 3, 'Turkey': 3}"
"Ceará Sporting Club","{'Argentina': 4, 'Brazil': 208, 'Portugal': 2, 'Paraguay': 4, 'Uruguay': 6, 'America': 27}"
"CSA Steaua București","{'Oman': 86, 'Romania': 129}"
"Baniyas SC","{'United Arab Emirates': 18, 'Bahrain': 2, 'Kuwait': 2, 'Qatar': 4, 'Saudi Arabia': 2, 'Slovenia': 2, 'Uzbekistan': 2}"
"San Francisco Bay Blackhawks","{'Belize': 3, 'Honduras': 2, 'Mexico': 2, 'Panama': 2, 'United States': 8, 'America': 51}"
"Ittihad FC (Jeddah)","{'United Arab Emirates': 3, 'Argentina': 24, 'Australia': 6, 'Austria': 2, 'Belgium': 14, 'Bahrain': 2, 'Bosnia and Herzegovina': 2, 'Brazil': 98, 'Chile': 18, 'China': 10, 'Cameroon': 4, 'Congo': 2, 'Colombia': 2, 'Costa Rica': 2, 'Germany': 4, 'Algeria': 4, 'Egypt': 28, 'Spain': 12, 'France': 8, 'Georgia': 3, 'Ghana': 14, 'Guinea': 6, 'Croatia': 22, 'Hungary': 12, 'Iran, Islamic Republic of': 10, 'Iraq': 2, 'Italy': 6, 'Jordan': 2, 'Japan': 18, 'Korea, Republic of': 7, 'Kuwait': 12, 'Lebanon': 2, 'Morocco': 4, 'Monaco': 6, 'Mexico': 2, 'Mali': 2, 'Niger': 4, 'Nigeria': 4, 'Netherlands': 6, 'Oman': 28, 'Peru': 6, 'Poland': 2, 'Portugal': 12, 'Qatar': 20, 'Romania': 33, 'Saudi Arabia': 258, 'Sierra Leone': 4, 'Serbia': 4, 'Slovenia': 6, 'Sweden': 4, 'Syrian Arab Republic': 2, 'Tunisia': 20, 'Uruguay': 4, 'Uzbekistan': 16, 'Venezuela, Bolivarian Republic of': 2, 'South Africa': 2, 'England': 9, 'America': 3, 'Yugoslavia': 3, 'South Korea': 21}"
"FC Vorskla-2 Poltava","{'Ukraine': 15}"
"Melbourne Victory FC","{'Albania': 6, 'Argentina': 4, 'Australia': 459, 'Brazil': 14, 'China': 6, 'Costa Rica': 12, 'France': 6, 'Croatia': 2, 'Iran, Islamic Republic of': 8, 'Jersey': 9, 'Jordan': 2, 'Japan': 21, 'Korea, Republic of': 1, 'North Macedonia': 2, 'Netherlands': 4, 'New Zealand': 24, 'Portugal': 4, 'Sudan': 4, 'South Sudan': 4, 'Sweden': 4, 'Thailand': 4, 'Tunisia': 6, 'England': 6, 'Scotland': 15, 'Wales': 6, 'America': 12, 'South Korea': 3}"
"1. FC Karlovy Vary","{'Czechia': 3, 'Slovakia': 2}"
"C.A Bella Vista","{}"
"C.D. Ferroviarios de Chile","{'Chile': 38}"
"SR Delémont","{'Switzerland': 8, 'Oman': 2}"
"AC Sparta Prague","{'Austria': 4, 'Belgium': 2, 'Chile': 4, 'Czechia': 7, 'France': 2, 'Hungary': 6, 'Italy': 2, 'Jersey': 15, 'Monaco': 2, 'Netherlands': 2, 'Portugal': 2, 'Slovakia': 8, 'England': 9}"
"Inter Miami CF","{'Argentina': 34, 'Bolivia, Plurinational State of': 3, 'Brazil': 2, 'Canada': 6, 'China': 24, 'Germany': 2, 'Ecuador': 6, 'Spain': 6, 'France': 12, 'Hong Kong': 18, 'India': 4, 'Iran, Islamic Republic of': 2, 'Israel': 2, 'Jersey': 30, 'Japan': 6, 'Mali': 2, 'Oman': 2, 'Peru': 4, 'Paraguay': 2, 'Qatar': 18, 'El Salvador': 4, 'Uruguay': 8, 'United States': 30, 'Venezuela, Bolivarian Republic of': 2, 'England': 18, 'Scotland': 3, 'America': 27}"
"Spartak Brno ZJŠ","{'Austria': 2, 'Czechia': 7, 'Hungary': 3, 'Nepal': 2, 'Oman': 8, 'Slovakia': 4}"
"C.D. Universidad Católica del Ecuador","{'Argentina': 14, 'Chile': 2, 'Colombia': 2, 'Ecuador': 30, 'Jordan': 2, 'Oman': 2}"
"FC Saturn Ramenskoye","{'Argentina': 4, 'Armenia': 4, 'Bosnia and Herzegovina': 12, 'Belarus': 6, 'Cameroon': 2, 'Costa Rica': 2, 'Czechia': 2, 'Finland': 4, 'Georgia': 3, 'Ghana': 6, 'Kazakhstan': 2, 'Lithuania': 6, 'Moldova, Republic of': 6, 'Montenegro': 6, 'Niger': 2, 'Nigeria': 2, 'Oman': 6, 'Peru': 2, 'Paraguay': 2, 'Serbia': 2, 'Slovakia': 12, 'Tajikistan': 6, 'Ukraine': 18, 'Uruguay': 4, 'Uzbekistan': 2, 'America': 6}"
"NK Olimpija Ljubljana (1945-2005)","{'Ireland': 15, 'Slovenia': 136, 'Yugoslavia': 21}"
"ASC Diaraf","{'France': 6, 'Guinea': 2, 'Gambia': 2, 'Mexico': 24, 'Mauritania': 4, 'Senegal': 88}"
"FC Twente","{'Albania': 2, 'Australia': 12, 'Austria': 8, 'Azerbaijan': 2, 'Belgium': 16, 'Burkina Faso': 3, 'Bulgaria': 2, 'Bosnia and Herzegovina': 4, 'Brazil': 2, 'Switzerland': 2, 'Chile': 4, 'Congo': 2, 'Costa Rica': 2, 'Czechia': 1, 'Germany': 10, 'Denmark': 16, 'Algeria': 2, 'Spain': 4, 'Finland': 8, 'Georgia': 6, 'Ghana': 2, 'Greece': 2, 'Croatia': 2, 'Hungary': 6, 'Iraq': 2, 'Iceland': 2, 'Japan': 3, 'Luxembourg': 6, 'Morocco': 12, 'Monaco': 4, 'Mexico': 2, 'Montenegro': 3, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 150, 'Norway': 2, 'Oman': 2, 'Peru': 2, 'Poland': 2, 'Portugal': 4, 'Serbia': 4, 'Slovakia': 2, 'Slovenia': 2, 'Sweden': 10, 'Chad': 2, 'Venezuela, Bolivarian Republic of': 1, 'South Africa': 4, 'England': 12, 'Scotland': 3, 'Yugoslavia': 12}"
"C.A. Bella Vista","{'Argentina': 4, 'Bolivia, Plurinational State of': 1, 'Brazil': 4, 'Chile': 6, 'Colombia': 2, 'Ecuador': 2, 'Spain': 2, 'Jersey': 12, 'Mexico': 2, 'Uruguay': 72, 'Venezuela, Bolivarian Republic of': 2, 'America': 9}"
"Standard Liège","{'Austria': 4, 'Belgium': 20, 'Jersey': 3, 'Jordan': 2, 'Oman': 4, 'Peru': 2, 'Portugal': 2, 'Yugoslavia': 9}"
"FC Interros Moscow","{}"
"MC El Eulma","{'Switzerland': 2, 'Cameroon': 2, 'Algeria': 38, 'France': 6}"
"Kitchee SC","{'Brazil': 2, 'China': 36, 'Hong Kong': 400, 'Japan': 15, 'Kuwait': 4, 'Singapore': 18, 'Uruguay': 2, 'Viet Nam': 1, 'England': 3, 'Wales': 3}"
"Hutnik Warszawa","{'Oman': 2, 'Poland': 12}"
"F.C. Barreirense","{'Portugal': 22, 'Yugoslavia': 6}"
"Millwall F.C.","{'Antigua and Barbuda': 3, 'Australia': 6, 'Bangladesh': 2, 'Barbados': 3, 'Canada': 3, 'Comoros': 6, 'Czechia': 1, 'Algeria': 2, 'Spain': 2, 'Finland': 2, 'United Kingdom': 18, 'Hungary': 3, 'Isle of Man': 3, 'Ireland': 18, 'Iceland': 2, 'Jamaica': 3, 'Jordan': 4, 'Japan': 18, 'Saint Kitts and Nevis': 3, 'Mali': 4, 'Niger': 2, 'Nigeria': 2, 'New Zealand': 3, 'Oman': 6, 'Portugal': 2, 'United States': 3, 'Virgin Islands, British': 1, 'England': 90, 'Scotland': 24, 'Wales': 3, 'Northern Ireland': 3, 'America': 15}"
"Municipal Pérez Zeledón","{'Costa Rica': 28, 'Germany': 2}"
"CD Toledo","{'Andorra': 2, 'Cameroon': 2, 'Colombia': 2, 'Spain': 48, 'Ghana': 2, 'Hungary': 3, 'Mexico': 2, 'Poland': 4}"
"Sheffield Wednesday F.C.","{'Australia': 3, 'Chile': 2, 'Germany': 4, 'Ireland': 9, 'Luxembourg': 4, 'Mali': 4, 'New Zealand': 3, 'Oman': 4, 'England': 72, 'Scotland': 12, 'Wales': 3, 'Northern Ireland': 9}"
"Irapuato FC","{'Argentina': 42, 'Brazil': 6, 'Chile': 6, 'Colombia': 4, 'Costa Rica': 16, 'Ecuador': 4, 'Spain': 4, 'Honduras': 4, 'Jamaica': 6, 'Jersey': 3, 'Japan': 6, 'Mexico': 132, 'Mali': 2, 'Malta': 2, 'Oman': 6, 'Peru': 4, 'Paraguay': 10, 'Uruguay': 12, 'United States': 4, 'Zambia': 4}"
"C.F. Estrela da Amadora","{'France': 4, 'Portugal': 38}"
"HNK Šibenik","{'Austria': 4, 'Bosnia and Herzegovina': 2, 'Cyprus': 2, 'Croatia': 246, 'Malta': 2, 'Slovenia': 2, 'Yugoslavia': 3}"
"CS La Forestoise","{'Belgium': 20, 'Slovakia': 2}"
"Anorthosis Famagusta","{'Cyprus': 76, 'Spain': 4, 'Greece': 8, 'Italy': 8, 'Jersey': 3, 'Mali': 12, 'Portugal': 4, 'Serbia': 2}"
"Drukarz Warszawa","{}"
"Apollon Limassol FC","{'Austria': 4, 'Belgium': 2, 'Cyprus': 42, 'Georgia': 3, 'Greece': 4, 'Iran, Islamic Republic of': 2, 'Israel': 2, 'Mali': 6, 'Niger': 2, 'Netherlands': 2, 'Poland': 4, 'Slovakia': 2, 'Yugoslavia': 3}"
"Atalanta B.C.","{'Austria': 4, 'Switzerland': 2, 'France': 14, 'Croatia': 2, 'Hungary': 18, 'Iran, Islamic Republic of': 2, 'Italy': 176, 'Jersey': 3, 'Mali': 2, 'Oman': 6, 'Paraguay': 2, 'Uruguay': 2, 'England': 3, 'Wales': 3}"
"Kidderminster Harriers F.C.","{'United Kingdom': 4, 'England': 45, 'Wales': 3}"
"Fatih Karagümrük S.K.","{'Austria': 4, 'Turkey': 3}"
"Atlético Junior","{'Argentina': 22, 'Brazil': 18, 'Chile': 6, 'Colombia': 188, 'Czechia': 1, 'Hungary': 6, 'Iran, Islamic Republic of': 4, 'Panama': 2, 'Peru': 6, 'Uruguay': 16, 'Venezuela, Bolivarian Republic of': 1, 'England': 3, 'America': 21}"
"Newell's Old Boys","{'Argentina': 114, 'Brazil': 2, 'Chile': 2, 'Germany': 2, 'Spain': 2, 'United Kingdom': 2, 'Croatia': 2, 'Italy': 2, 'Peru': 4, 'Paraguay': 2, 'Uruguay': 6, 'Venezuela, Bolivarian Republic of': 1, 'England': 6, 'Scotland': 3, 'America': 6}"
"A.S.D. Legnano Calcio 1913","{'Argentina': 2, 'Germany': 2, 'France': 6, 'Italy': 28, 'Netherlands': 2, 'Sweden': 2}"
"Ajman Club","{'United Arab Emirates': 15, 'Brazil': 4, 'Egypt': 2, 'Iraq': 6, 'Mali': 2, 'Oman': 2, 'Portugal': 2, 'Romania': 3, 'Serbia': 2, 'Tunisia': 4}"
"FC Munaishy","{'Kazakhstan': 154}"
"Toulouse FC II","{'France': 36, 'Jersey': 6, 'Jordan': 2}"
"R. Charleroi S.C.","{'Austria': 4, 'Belgium': 56, 'Germany': 8, 'Denmark': 2, 'Finland': 2, 'France': 4, 'Croatia': 12, 'Hungary': 9, 'Israel': 4, 'Morocco': 4, 'Netherlands': 2, 'Oman': 2, 'Peru': 10, 'Poland': 4, 'Romania': 3, 'Serbia': 2, 'Slovakia': 4, 'Ukraine': 3, 'England': 15, 'Scotland': 6, 'Wales': 3, 'Turkey': 3}"
"USM Alger","{'China': 2, 'Cameroon': 2, 'Algeria': 550, 'Egypt': 2, 'France': 10, 'Ghana': 4, 'Iran, Islamic Republic of': 1, 'Iraq': 18, 'Jersey': 21, 'Libya': 3, 'Morocco': 4, 'Monaco': 4, 'Madagascar': 2, 'Mali': 16, 'Niger': 4, 'Nigeria': 2, 'Tunisia': 4, 'Tanzania, United Republic of': 1, 'United States': 2, 'England': 3}"
"Club Cristóbal Colón de Juan Augusto Saldívar","{'Paraguay': 24}"
"Guarani FC","{'Argentina': 4, 'Brazil': 70, 'Germany': 8, 'Spain': 4, 'France': 2, 'Italy': 4, 'Japan': 12, 'Korea, Republic of': 2, 'Mexico': 4, 'Peru': 2, 'United States': 4, 'America': 9, 'South Korea': 6}"
"JS Saint-Pierroise","{'Cameroon': 2, 'Comoros': 2, 'France': 24, 'Madagascar': 12}"
"Caracas Fútbol Club","{'France': 2, 'Iran, Islamic Republic of': 2, 'Jersey': 3, 'Venezuela, Bolivarian Republic of': 38, 'America': 36}"
"Al-Ahli (Jeddah)","{'United Arab Emirates': 3, 'Brazil': 32, 'Switzerland': 4, 'China': 2, 'Germany': 4, 'Egypt': 6, 'Indonesia': 2, 'India': 2, 'Iran, Islamic Republic of': 1, 'Iraq': 2, 'Korea, Republic of': 1, 'Kuwait': 2, 'Oman': 2, 'Peru': 6, 'Qatar': 4, 'Saudi Arabia': 54, 'Sudan': 2, 'Syrian Arab Republic': 4, 'Tajikistan': 2, 'Tunisia': 6, 'Uzbekistan': 2, 'England': 6, 'South Korea': 3}"
"Warta Poznań","{'Austria': 4, 'Germany': 2, 'Hungary': 6, 'Mali': 4, 'Oman': 4, 'Poland': 172, 'America': 3}"
"Albany Capitals","{'England': 3, 'America': 36}"
"Kashiwa Reysol","{'Bulgaria': 2, 'Brazil': 18, 'Japan': 258, 'Korea, Republic of': 1, 'England': 3, 'America': 3, 'South Korea': 3}"
"SK Slavia Prague","{'Austria': 4, 'China': 12, 'Czechia': 8, 'Hungary': 6, 'Mali': 2, 'Slovakia': 10, 'Scotland': 3}"
"FC Metalist Kharkiv","{'Austria': 10, 'Cyprus': 2, 'Germany': 2, 'Croatia': 4, 'India': 4, 'Jersey': 3, 'Netherlands': 2, 'Oman': 18, 'Portugal': 8, 'Senegal': 2, 'Serbia': 4, 'Ukraine': 246, 'England': 3, 'Yugoslavia': 6, 'Turkey': 6}"
"Carpi FC 1909","{'Hungary': 3, 'Italy': 22}"
"Widzew Łódź","{'Albania': 2, 'Austria': 4, 'Azerbaijan': 2, 'Belgium': 2, 'Bulgaria': 2, 'Czechia': 1, 'Germany': 10, 'Denmark': 4, 'Spain': 2, 'France': 4, 'Italy': 10, 'Latvia': 2, 'Monaco': 2, 'Moldova, Republic of': 1, 'Malta': 2, 'Netherlands': 2, 'Oman': 4, 'Poland': 234, 'Romania': 3, 'Slovakia': 2, 'Sweden': 2, 'Ukraine': 9, 'England': 12, 'Wales': 3, 'Yugoslavia': 3, 'Turkey': 3}"
"FC Hermagor","{}"
"Ripensia Timișoara","{'Austria': 2, 'Hungary': 18, 'Italy': 6, 'Oman': 76, 'Romania': 114}"
"AC Ajaccio","{'France': 22, 'Jordan': 2, 'Monaco': 2}"
"Råå IF","{'Sweden': 12}"
"Club Nacional (Paraguay)","{'Argentina': 18, 'Australia': 3, 'Brazil': 2, 'Switzerland': 4, 'Colombia': 2, 'Guinea': 2, 'Jordan': 2, 'Montenegro': 3, 'Paraguay': 140, 'Uruguay': 8}"
"Pau FC","{'Canada': 3, 'Cuba': 2, 'France': 62, 'Viet Nam': 5}"
"Coventry City F.C.","{'Germany': 2, 'United Kingdom': 6, 'Ireland': 18, 'Jordan': 34, 'England': 108, 'Scotland': 6}"
"Maccabi Netanya F.C.","{'Austria': 2, 'Bosnia and Herzegovina': 2, 'Germany': 4, 'Iran, Islamic Republic of': 1, 'Israel': 233, 'Netherlands': 2, 'Sweden': 2, 'Yugoslavia': 3, 'Turkey': 3}"
"Al-Hilal FC","{'United Arab Emirates': 3, 'Australia': 12, 'Bangladesh': 2, 'Bahrain': 2, 'Brazil': 8, 'China': 2, 'Colombia': 2, 'Egypt': 2, 'France': 2, 'India': 4, 'Iran, Islamic Republic of': 6, 'Iraq': 2, 'Japan': 9, 'Kazakhstan': 2, 'Korea, Republic of': 3, 'Kuwait': 8, 'Lebanon': 2, 'Morocco': 2, 'Oman': 4, "Korea, Democratic People's Republic of": 1, 'Qatar': 6, 'Saudi Arabia': 66, 'Syrian Arab Republic': 2, 'Thailand': 2, 'Tajikistan': 2, 'Turkmenistan': 3, 'Uzbekistan': 2, 'Yemen': 2, 'Zambia': 2, 'South Korea': 9, 'North Korea': 3}"
"Djurgårdens IF Fotboll","{'Austria': 2, 'Bosnia and Herzegovina': 6, 'Switzerland': 2, 'Spain': 2, 'Hungary': 3, 'Iceland': 2, 'Kenya': 2, 'Luxembourg': 2, 'Norway': 8, 'Oman': 2, 'Romania': 3, 'Sierra Leone': 2, 'Sweden': 150, 'England': 24, 'Scotland': 3, 'Wales': 3}"
"Orange County Blue Star","{'India': 2, 'Jordan': 8, 'Sierra Leone': 2, 'United States': 2, 'America': 12}"
"Galatasaray S.K. (football team)","{'Albania': 2, 'Australia': 3, 'Belgium': 2, 'Brazil': 6, 'Switzerland': 2, 'Germany': 6, 'Spain': 6, 'France': 2, 'United Kingdom': 14, 'Greece': 2, 'India': 4, 'Iran, Islamic Republic of': 1, 'Italy': 4, 'Oman': 6, 'Romania': 3, 'United States': 8, 'England': 3, 'Turkey': 87}"
"Ferencvárosi Torna Club","{'Austria': 2, 'Brazil': 2, 'Germany': 2, 'Ecuador': 2, 'Hungary': 333, 'Italy': 2, 'Malta': 8, 'Netherlands': 2, 'Norway': 10, 'Poland': 2, 'Serbia': 4, 'Slovakia': 2, 'Slovenia': 2, 'Ukraine': 3, 'England': 3}"
"Audax Club Sportivo Italiano","{'Chile': 74, 'Italy': 2, 'America': 15}"
"Eintracht Frankfurt II","{'Afghanistan': 18, 'Germany': 2}"
"FC Midtjylland","{'Denmark': 34, 'Egypt': 2, 'Spain': 2, 'Hungary': 3, 'Ireland': 6, 'Kazakhstan': 2, 'Monaco': 4, 'Niger': 2, 'Nigeria': 2, 'New Zealand': 6, 'Sweden': 2, 'Scotland': 3, 'Wales': 3, 'Northern Ireland': 3}"
"Calcaterra","{'Uruguay': 2, 'United States': 4}"
"U.S. Pro Vercelli Calcio","{'France': 6, 'Italy': 14}"
"Proodeftiki FC","{'Albania': 6, 'Armenia': 2, 'Cyprus': 2, 'Greece': 48, 'Liberia': 2, 'Syrian Arab Republic': 5, 'Ukraine': 3, 'Uzbekistan': 2}"
"Doncaster Rovers F.C.","{'Australia': 3, 'France': 2, 'United Kingdom': 2, 'Ireland': 9, 'Jersey': 3, 'Senegal': 2, 'England': 66, 'Scotland': 9, 'Wales': 12, 'Northern Ireland': 6}"
"Warrington Town F.C.","{'Jordan': 2, 'England': 15}"
"New York Red Bulls","{'Argentina': 2, 'Australia': 6, 'Austria': 12, 'Bolivia, Plurinational State of': 1, 'Brazil': 24, 'Canada': 3, 'Colombia': 12, 'Costa Rica': 4, 'Germany': 8, 'Ecuador': 4, 'Spain': 2, 'Estonia': 6, 'Finland': 2, 'France': 6, 'Guatemala': 2, 'Honduras': 2, 'Iran, Islamic Republic of': 1, 'Israel': 4, 'Italy': 4, 'Jamaica': 12, 'Jersey': 108, 'Mexico': 2, 'Netherlands': 2, 'Norway': 6, 'Portugal': 6, 'Paraguay': 2, 'Sweden': 4, 'Trinidad and Tobago': 2, 'Ukraine': 3, 'United States': 42, 'Venezuela, Bolivarian Republic of': 3, 'South Africa': 2, 'England': 48, 'Scotland': 6, 'America': 48, 'Yugoslavia': 6}"
"FC Anzhi Makhachkala","{'United Arab Emirates': 3, 'Argentina': 2, 'Azerbaijan': 12, 'Brazil': 4, 'Cameroon': 10, 'Congo': 4, 'Georgia': 6, 'India': 4, 'Latvia': 4, 'Morocco': 10, 'Monaco': 6, 'Moldova, Republic of': 3, 'Montenegro': 3, 'Niger': 4, 'Nigeria': 2, 'Oman': 2, 'Poland': 2, 'Serbia': 2, 'Turkmenistan': 3, 'Ukraine': 9, 'Venezuela, Bolivarian Republic of': 1, 'England': 6, 'Scotland': 3, 'America': 3, 'Yugoslavia': 3}"
"St Paul's Swifts","{}"
"Orlando Pirates FC","{'Brazil': 2, 'Congo': 3, 'Germany': 2, 'Spain': 4, 'France': 2, 'Jersey': 6, 'Namibia': 2, 'Niger': 2, 'Nigeria': 2, 'Netherlands': 2, 'Oman': 2, 'Peru': 4, 'Romania': 3, 'Serbia': 8, 'Sweden': 2, 'South Africa': 96, 'Zimbabwe': 2, 'Scotland': 3, 'Turkey': 3}"
"Real Unión","{'Switzerland': 2, 'Chile': 2, 'Denmark': 6, 'Spain': 44, 'France': 10, 'Iran, Islamic Republic of': 2, 'Mexico': 2, 'Mali': 2, 'Peru': 2, 'England': 9}"
"AO Kavala","{'Bulgaria': 2, 'Brazil': 2, 'Canada': 3, 'Greece': 132, 'North Macedonia': 4, 'Niger': 2, 'Nigeria': 2, 'Poland': 6, 'Serbia': 4}"
"FC Ural Yekaterinburg","{'Armenia': 10, 'Belarus': 18, 'Chile': 4, 'Cameroon': 4, 'Congo': 4, 'Estonia': 4, 'Georgia': 6, 'Hungary': 6, 'Iceland': 4, 'Israel': 4, 'Kazakhstan': 18, 'Lithuania': 6, 'Moldova, Republic of': 1, 'Norway': 4, 'Nepal': 2, 'Oman': 14, 'Poland': 8, 'Romania': 6, 'Tajikistan': 10, 'Ukraine': 12, 'Uzbekistan': 12, 'Zambia': 4, 'America': 3}"
"Kawkab Marrakech","{'Morocco': 40}"
"Hamilton Steelers (1958-67)","{'Canada': 21}"
"Sint-Truidense V.V.","{'Australia': 3, 'Belgium': 84, 'Germany': 4, 'Spain': 2, 'Croatia': 2, 'Ireland': 3, 'Netherlands': 8, 'Poland': 2, 'Slovenia': 2, 'Northern Ireland': 3}"
"JSM Chéraga","{'Algeria': 16, 'Mali': 4, 'Oman': 2, 'Romania': 3}"
"Hamburger SV","{'Austria': 4, 'Brazil': 6, 'Germany': 38, 'Greece': 4, 'Croatia': 2, 'Jersey': 9, 'Oman': 2, 'Romania': 3, 'Sweden': 2, 'United States': 2, 'America': 3}"
"Al-Arabi SC (Qatar)","{'Brazil': 56, 'Chile': 2, 'Germany': 8, 'Denmark': 2, 'Algeria': 2, 'Egypt': 6, 'France': 4, 'Croatia': 4, 'Iraq': 6, 'Iceland': 2, 'Italy': 2, 'Jersey': 3, 'Kuwait': 2, 'Morocco': 4, 'Oman': 4, 'Portugal': 2, 'Qatar': 188, 'Romania': 6, 'Sudan': 2, 'Serbia': 2, 'Thailand': 4, 'Tunisia': 4, 'Ukraine': 3, 'Uruguay': 4, 'Yemen': 2, 'England': 6}"
"St Johnstone F.C.","{'Canada': 12, 'Germany': 2, 'Finland': 2, 'United Kingdom': 2, 'Morocco': 4, 'Monaco': 8, 'Norway': 2, 'England': 3, 'Scotland': 51, 'Yugoslavia': 3}"
"FC Bulle","{'Switzerland': 10, 'France': 2}"
"Stade Lavallois","{'Austria': 4, 'Cameroon': 6, 'Congo': 2, 'Germany': 4, 'Algeria': 6, 'France': 78, 'Gabon': 4, 'Guinea': 2, 'Jordan': 4, 'Morocco': 2, 'Mali': 6, 'Tunisia': 2}"
"Burnley F.C.","{'Spain': 4, 'United Kingdom': 4, 'Ireland': 12, 'Jersey': 9, 'Jordan': 2, 'New Zealand': 3, 'Poland': 2, 'Chad': 2, 'United States': 4, 'England': 48, 'Wales': 15, 'Northern Ireland': 6, 'America': 21}"
"Stade Rennais F.C.","{'Austria': 2, 'Belgium': 2, 'Bulgaria': 2, 'Bosnia and Herzegovina': 4, 'Brazil': 6, 'Switzerland': 4, 'Cameroon': 2, 'Colombia': 2, 'Czechia': 1, 'Algeria': 8, 'Spain': 2, 'France': 180, 'Ghana': 2, 'Israel': 2, 'Jordan': 2, 'Morocco': 2, 'Mali': 2, 'Mozambique': 2, 'Niger': 2, 'Nigeria': 2, 'Poland': 2, 'Senegal': 12, 'Serbia': 2, 'Slovakia': 2, 'Sweden': 6, 'Tunisia': 2, 'Samoa': 2, 'America': 3}"
"America Football Club (Rio de Janeiro)","{'Argentina': 2, 'Brazil': 64, 'Iran, Islamic Republic of': 2, 'Peru': 2, 'Chad': 4, 'America': 216}"
"Newcastle United F.C.","{'Azerbaijan': 2, 'France': 4, 'United Kingdom': 2, 'Hungary': 3, 'Ireland': 6, 'Qatar': 2, 'Saudi Arabia': 37, 'Ukraine': 3, 'England': 93}"
"NK Dinamo Zagreb","{'Albania': 2, 'Australia': 3, 'Austria': 4, 'Bosnia and Herzegovina': 2, 'Switzerland': 2, 'Cyprus': 2, 'Germany': 2, 'Spain': 6, 'Estonia': 2, 'Greece': 2, 'Croatia': 326, 'Hungary': 18, 'Italy': 2, 'North Macedonia': 2, 'Mali': 2, 'Montenegro': 3, 'Netherlands': 2, 'Oman': 6, 'Peru': 10, 'Portugal': 4, 'Romania': 3, 'Serbia': 4, 'Slovakia': 8, 'Slovenia': 8, 'England': 9, 'Scotland': 3, 'Yugoslavia': 135}"
"Detroit Express","{'Austria': 2, 'Brazil': 2, 'Switzerland': 2, 'China': 2, 'Guatemala': 2, 'Jersey': 6, 'United States': 4, 'England': 6, 'America': 84}"
"Club Atlético Atlanta","{'Argentina': 74, 'Georgia': 3, 'Iran, Islamic Republic of': 2, 'United States': 2, 'Venezuela, Bolivarian Republic of': 1, 'America': 3}"
"Cádiz CF B","{'Argentina': 2, 'Brazil': 2, 'Cameroon': 4, 'Spain': 44, 'Guinea': 2, 'Croatia': 2, 'Haiti': 2, 'Iran, Islamic Republic of': 14, 'Mali': 4, 'Oman': 2, 'Serbia': 2, 'Zambia': 2}"
